# marvel-crawler — Street_Fighter_characters crawl (2026-09-10)
# Wikipedia Category:Street_Fighter_characters: one node per page; edge A -> B
# when the article of A links to the article of B. 53 nodes, 299 directed edges.
# 1 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Ken_Masters	Mai_Shiranui
Ken_Masters	Makoto_(Street_Fighter)
Ken_Masters	Ryu_(Street_Fighter)
Ken_Masters	Sakura_Kasugano
Ken_Masters	Terry_Bogard
Kimberly_Jackson	Cammy
Kimberly_Jackson	Chun-Li
Kimberly_Jackson	Juri_(Street_Fighter)
Kimberly_Jackson	Ken_Masters
Kimberly_Jackson	Luke_(Street_Fighter)
Kimberly_Jackson	Ryu_(Street_Fighter)
Kimberly_Jackson	Sakura_Kasugano
Laura_Matsuda	Blanka
Laura_Matsuda	Sean_Matsuda
Luke_(Street_Fighter)	Alex_(Street_Fighter)
Luke_(Street_Fighter)	Chun-Li
Luke_(Street_Fighter)	Guile_(Street_Fighter)
Luke_(Street_Fighter)	Ryu_(Street_Fighter)
M._Bison	Akuma_(Street_Fighter)
M._Bison	Balrog_(Street_Fighter)
M._Bison	Cammy
M._Bison	Chun-Li
M._Bison	Guile_(Street_Fighter)
M._Bison	Juri_(Street_Fighter)
M._Bison	Ryu_(Street_Fighter)
M._Bison	T._Hawk
M._Bison	Vega_(Street_Fighter)
Mai_Shiranui	Chun-Li
Mai_Shiranui	Ryu_(Street_Fighter)
Mai_Shiranui	Terry_Bogard
Makoto_(Street_Fighter)	Dan_Hibiki
Makoto_(Street_Fighter)	Elena_(Street_Fighter)
Makoto_(Street_Fighter)	Gill_(Street_Fighter)
Makoto_(Street_Fighter)	Ibuki_(Street_Fighter)
Makoto_(Street_Fighter)	Ken_Masters
Makoto_(Street_Fighter)	Ryu_(Street_Fighter)
Makoto_(Street_Fighter)	Sakura_Kasugano
Mike_Haggar	Chun-Li
Mike_Haggar	Ken_Masters
Mike_Haggar	Ryu_(Street_Fighter)
Mike_Haggar	Sodom_(Final_Fight)
Mike_Haggar	Zangief
Necro_(Street_Fighter)	Blanka
Necro_(Street_Fighter)	Dhalsim
Necro_(Street_Fighter)	Gill_(Street_Fighter)
Necro_(Street_Fighter)	Oro_(Street_Fighter)
Oro_(Street_Fighter)	Akuma_(Street_Fighter)
Oro_(Street_Fighter)	Dhalsim
Oro_(Street_Fighter)	Elena_(Street_Fighter)
Oro_(Street_Fighter)	Ibuki_(Street_Fighter)
Oro_(Street_Fighter)	M._Bison
Oro_(Street_Fighter)	Makoto_(Street_Fighter)
Oro_(Street_Fighter)	Necro_(Street_Fighter)
Oro_(Street_Fighter)	Ryu_(Street_Fighter)
Poison_(Final_Fight)	Gill_(Street_Fighter)
Poison_(Final_Fight)	Ken_Masters
Poison_(Final_Fight)	R._Mika
Poison_(Final_Fight)	Ryu_(Street_Fighter)
Poison_(Final_Fight)	Sagat_(Street_Fighter)
Q_(Street_Fighter)	Alex_(Street_Fighter)
Q_(Street_Fighter)	Balrog_(Street_Fighter)
Q_(Street_Fighter)	Chun-Li
Q_(Street_Fighter)	Makoto_(Street_Fighter)
Q_(Street_Fighter)	Ryu_(Street_Fighter)
Q_(Street_Fighter)	Twelve_(Street_Fighter)
R._Mika	Cammy
R._Mika	Dan_Hibiki
R._Mika	E._Honda
R._Mika	M._Bison
R._Mika	Poison_(Final_Fight)
R._Mika	Sakura_Kasugano
R._Mika	Zangief
Remy_(Street_Fighter)	Alex_(Street_Fighter)
Remy_(Street_Fighter)	F.A.N.G._(Street_Fighter)
Remy_(Street_Fighter)	Guile_(Street_Fighter)
Remy_(Street_Fighter)	M._Bison
Remy_(Street_Fighter)	Ryu_(Street_Fighter)
Remy_(Street_Fighter)	Yun_and_Yang
Rufus_(Street_Fighter)	Blanka
Rufus_(Street_Fighter)	Cammy
Rufus_(Street_Fighter)	Dan_Hibiki
Rufus_(Street_Fighter)	Ken_Masters
Rufus_(Street_Fighter)	M._Bison
Rufus_(Street_Fighter)	Ryu_(Street_Fighter)
Rufus_(Street_Fighter)	Sakura_Kasugano
Rufus_(Street_Fighter)	Yun_and_Yang
Rufus_(Street_Fighter)	Zangief
Ryu_(Street_Fighter)	Akuma_(Street_Fighter)
Ryu_(Street_Fighter)	Captain_Sawada
Ryu_(Street_Fighter)	Charlie_Nash_(Street_Fighter)
Ryu_(Street_Fighter)	Chun-Li
Ryu_(Street_Fighter)	Guile_(Street_Fighter)
Ryu_(Street_Fighter)	Ken_Masters
Ryu_(Street_Fighter)	M._Bison
Ryu_(Street_Fighter)	Sagat_(Street_Fighter)
Ryu_(Street_Fighter)	Sakura_Kasugano
Ryu_(Street_Fighter)	Terry_Bogard
Ryu_(Street_Fighter)	Vega_(Street_Fighter)
Ryu_(Street_Fighter)	Zangief
Sagat_(Street_Fighter)	Dan_Hibiki
Sagat_(Street_Fighter)	Guile_(Street_Fighter)
Sagat_(Street_Fighter)	M._Bison
Sagat_(Street_Fighter)	Ryu_(Street_Fighter)
Sakura_Kasugano	Akuma_(Street_Fighter)
Sakura_Kasugano	Blanka
Sakura_Kasugano	Chun-Li
Sakura_Kasugano	Dan_Hibiki
Sakura_Kasugano	E._Honda
Sakura_Kasugano	M._Bison
Sakura_Kasugano	Ryu_(Street_Fighter)
Sean_Matsuda	Ken_Masters
Sean_Matsuda	Laura_Matsuda
Seth_(Street_Fighter)	Gill_(Street_Fighter)
Seth_(Street_Fighter)	Guile_(Street_Fighter)
Seth_(Street_Fighter)	Juri_(Street_Fighter)
Seth_(Street_Fighter)	M._Bison
Seth_(Street_Fighter)	Ryu_(Street_Fighter)
Seth_(Street_Fighter)	Sagat_(Street_Fighter)
Seth_(Street_Fighter)	Zangief
Sheng_Long	Akuma_(Street_Fighter)
Sheng_Long	Chun-Li
Sheng_Long	Ibuki_(Street_Fighter)
Sheng_Long	Ken_Masters
Sheng_Long	M._Bison
Sheng_Long	Ryu_(Street_Fighter)
Sheng_Long	Sagat_(Street_Fighter)
Sodom_(Final_Fight)	Birdie_(Street_Fighter)
Sodom_(Final_Fight)	Charlie_Nash_(Street_Fighter)
Sodom_(Final_Fight)	Chun-Li
Sodom_(Final_Fight)	E._Honda
Sodom_(Final_Fight)	Ken_Masters
Sodom_(Final_Fight)	M._Bison
Sodom_(Final_Fight)	Ryu_(Street_Fighter)
T._Hawk	El_Fuerte_(Street_Fighter)
T._Hawk	M._Bison
Terry_Bogard	Ken_Masters
Terry_Bogard	Mai_Shiranui
Terry_Bogard	Ryu_(Street_Fighter)
Twelve_(Street_Fighter)	Gill_(Street_Fighter)
