# marvel-crawler — Street_Fighter_characters crawl (2026-09-10)
# Wikipedia Category:Street_Fighter_characters — 53 nodes (redirects resolved).
# node_id matches the source column of the edges file.
node_id	name	wikidata_id	url	description
Laura_Matsuda	Laura Matsuda	Q55531352	https://en.wikipedia.org/wiki/Laura_Matsuda	Laura Matsuda (Japanese: ララ マツダ/松田) is a fictional character from the Street Fighter series of video games, making her first appearance in 2016's Street Fighter V. She is the sister of Sean Matsuda, a character from 1997's Street Fighter III. She is from Brazil, and much like fellow Brazilian character Blanka, she utilizes electricity in some of her attacks.
Luke_(Street_Fighter)	Luke (Street Fighter)	Q121382296	https://en.wikipedia.org/wiki/Luke_(Street_Fighter)	Luke Sullivan (Japanese: ルーク・サリバン, Hepburn: Rūku Sariban) is a character from Capcom's Street Fighter fighting game series, first introduced in the 2016 video game Street Fighter V as the final downloadable content from 2021.
M._Bison	M. Bison	Q31378	https://en.wikipedia.org/wiki/M._Bison	M. Bison, known in Japan as Vega (Japanese: ベガ, Hepburn: Bega), is a character and the main antagonist of the Street Fighter series created by Capcom.
Mai_Shiranui	Mai Shiranui	Q1317441	https://en.wikipedia.org/wiki/Mai_Shiranui	Mai Shiranui (Japanese: 不知火舞, Hepburn: Shiranui Mai; alternatively written しらぬい まい) is a character in the Fatal Fury and The King of Fighters series of fighting games by SNK. Introduced in 1992's Fatal Fury 2, the character was originally conceived as a male character named "Ninja Master", but when a request was put in to include a female character in the game they revised the concept entirely.
Makoto_(Street_Fighter)	Makoto (Street Fighter)	Q3182188	https://en.wikipedia.org/wiki/Makoto_(Street_Fighter)	Makoto (Japanese: まこと) is a character in Capcom's Street Fighter fighting game series, designed by Keigo Chimoto and first appearing in 1999's Street Fighter III: 3rd Strike.
Mike_Haggar	Mike Haggar	Q3273881	https://en.wikipedia.org/wiki/Mike_Haggar	Mike Haggar (マイク・ハガー, Maiku Hagā), also known mononymously as Haggar, is a character in the Street Fighter shared universe, mainly playable in the Final Fight and Saturday Night Slam Masters series of video games.
Necro_(Street_Fighter)	Necro (Street Fighter)	Q2728819	https://en.wikipedia.org/wiki/Necro_(Street_Fighter)	Necro (Japanese: ネクロ, Hepburn: Nekuro) is a character from Capcom's Street Fighter fighting game series.
Oro_(Street_Fighter)	Oro (Street Fighter)	Q5408919	https://en.wikipedia.org/wiki/Oro_(Street_Fighter)	Oro (Japanese: オロ) is a fictional character in the Street Fighter series of fighting games by Capcom.
Poison_(Final_Fight)	Poison (Final Fight)	Q516478	https://en.wikipedia.org/wiki/Poison_(Final_Fight)	Poison (Japanese: ポイズン) is a character in Capcom's Final Fight and Street Fighter series of video games.
Q_(Street_Fighter)	Q (Street Fighter)	Q2080323	https://en.wikipedia.org/wiki/Q_(Street_Fighter)	Q is a character from Capcom's Street Fighter fighting game series.
R._Mika	R. Mika	Q3260906	https://en.wikipedia.org/wiki/R._Mika	Rainbow Mika (レインボー ミカ), also known as R. Mika or Mika Nanakawa (七川 美華), is a character in Capcom's Street Fighter fighting game series.
Remy_(Street_Fighter)	Remy (Street Fighter)	Q11702722	https://en.wikipedia.org/wiki/Remy_(Street_Fighter)	Remy (レミー, Remī) is a character from Capcom's Street Fighter fighting game series.
Rufus_(Street_Fighter)	Rufus (Street Fighter)	Q2355125	https://en.wikipedia.org/wiki/Rufus_(Street_Fighter)	Rufus (Japanese: ルーファス, Hepburn: Rūfasu) is a character in Capcom's Street Fighter series of fighting games.
Ryu_(Street_Fighter)	Ryu (Street Fighter)	Q1223440	https://en.wikipedia.org/wiki/Ryu_(Street_Fighter)	Ryu ( ; Japanese: リュウ, Hepburn: Ryū) is the protagonist of the video game series Street Fighter by Capcom.
Sagat_(Street_Fighter)	Sagat (Street Fighter)	Q742181	https://en.wikipedia.org/wiki/Sagat_(Street_Fighter)	Sagat (Japanese: サガット, Hepburn: Sagatto) is a character from the Japanese fighting game series Street Fighter, created by Capcom.
Sakura_Kasugano	Sakura Kasugano	Q2450317	https://en.wikipedia.org/wiki/Sakura_Kasugano	Sakura Kasugano (春日野 さくら, Kasugano Sakura) is a character in Capcom's Street Fighter series.
Sean_Matsuda	Sean Matsuda	Q3274551	https://en.wikipedia.org/wiki/Sean_Matsuda	Sean Matsuda (Japanese: ショーン・マツダ, Hepburn: Shōn Matsuda) is a character from Capcom's Street Fighter fighting game series.
Seth_(Street_Fighter)	Seth (Street Fighter)	Q2602235	https://en.wikipedia.org/wiki/Seth_(Street_Fighter)	Seth (Japanese: セス, Hepburn: Sesu) is a character in Capcom's Street Fighter  fighting game series.
Sheng_Long	Sheng Long	Q7494251	https://en.wikipedia.org/wiki/Sheng_Long	Sheng Long is a character hoax related to the Street Fighter series, created by Electronic Gaming Monthly as an April Fools' prank in 1992.
Sodom_(Final_Fight)	Sodom (Final Fight)	Q4386776	https://en.wikipedia.org/wiki/Sodom_(Final_Fight)	Sodom (Japanese: ソドム, Hepburn: Sodomu) is a fictional character from both the Final Fight and Street Fighter series of video games.
T._Hawk	T. Hawk	Q2558136	https://en.wikipedia.org/wiki/T._Hawk	Thunder Hawk (Japanese: サンダーホーク), commonly referred to as T. Hawk, is a character from Capcom's Street Fighter fighting game series, introduced in Super Street Fighter II in 1993.
Terry_Bogard	Terry Bogard	Q1315861	https://en.wikipedia.org/wiki/Terry_Bogard	Terry Bogard (Japanese: テリー・ボガード, Hepburn: Terī Bogādo) is a character and the protagonist of the Fatal Fury series created by SNK. Introduced in Fatal Fury: King of Fighters (1991), he is an American fighter who enters the worldwide "The King of Fighters" tournaments to combat his adopted father's murderer, Geese Howard.
Tifa_Lockhart	Tifa Lockhart	Q1199059	https://en.wikipedia.org/wiki/Tifa_Lockhart	Tifa Lockhart (Japanese: ティファ・ロックハート, Hepburn: Tifa Rokkuhāto) is a character from the 1997 role-playing video game Final Fantasy VII by Square (now Square Enix).
Twelve_(Street_Fighter)	Twelve (Street Fighter)	Q4387629	https://en.wikipedia.org/wiki/Twelve_(Street_Fighter)	Twelve (トゥエルヴ, Tueruvu) is a character from the Street Fighter fighting game series.
Vega_(Street_Fighter)	Vega (Street Fighter)	Q1901282	https://en.wikipedia.org/wiki/Vega_(Street_Fighter)	Vega, also known as Balrog (Japanese: バルログ, Hepburn: Barurogu) in Japan, is a character from the Street Fighter fighting game series by Capcom.
Yun_and_Yang	Yun and Yang	Q2552447	https://en.wikipedia.org/wiki/Yun_and_Yang	Yun (ユン) and Yang (ヤン, Yan) are a pair of fictional characters appearing in the Street Fighter fighting game series.
Zangief	Zangief	Q968181	https://en.wikipedia.org/wiki/Zangief	Zangief ( ; Japanese: ザンギエフ) is a fictional character in Capcom's Street Fighter series.
