# marvel-crawler — A_Song_of_Ice_and_Fire_characters crawl (2026-09-10)
# Wikipedia Category:A_Song_of_Ice_and_Fire_characters — 50 nodes (redirects resolved).
# node_id matches the source column of the edges file.
node_id	name	wikidata_id	url	description
Ned_Stark	Ned Stark	Q259818	https://en.wikipedia.org/wiki/Ned_Stark	Eddard "Ned" Stark is a fictional character from American writer George R. R. Martin's A Song of Ice and Fire epic fantasy series, a prominent point-of-view character in the first novel of the series, A Game of Thrones (1996), and a major character in the first season of HBO's television adaptation, Game of Thrones.
Night_King	Night King	Q37945333	https://en.wikipedia.org/wiki/Night_King	The Night King is a fictional character and the overarching antagonist of the HBO high fantasy television series Game of Thrones, based on George R. R. Martin's novel series A Song of Ice and Fire.
Oberyn_Martell	Oberyn Martell	Q19359499	https://en.wikipedia.org/wiki/Oberyn_Martell	Oberyn Nymeros Martell, nicknamed the Red Viper, is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin and its television adaptation, Game of Thrones, where he is portrayed by Pedro Pascal.
Olenna_Tyrell	Olenna Tyrell	Q23748587	https://en.wikipedia.org/wiki/Olenna_Tyrell	Olenna Tyrell (née Redwyne) is a fictional character in the A Song of Ice and Fire series of high fantasy novels by American author George R. R. Martin, and its television adaptation, Game of Thrones.
Ormund_Hightower	Ormund Hightower	Q141105784	https://en.wikipedia.org/wiki/Ormund_Hightower	Ormund Hightower is a fictional character from American author George R. R. Martin's the A Song of Ice and Fire series of epic fantasy novels, appearing in the 2013 novella The Princess and the Queen, the 2014 novella The Rogue Prince, the 2018 history book Fire & Blood, and the 2022 companion book The Rise of the Dragon.
Osha_(A_Song_of_Ice_and_Fire)	Osha (A Song of Ice and Fire)	Q55433838	https://en.wikipedia.org/wiki/Osha_(A_Song_of_Ice_and_Fire)	Osha is a fictional character created by George R. R. Martin, appearing in the A Song of Ice and Fire series, and in its HBO television adaptation, Game of Thrones.
Petyr_Baelish	Petyr Baelish	Q4360302	https://en.wikipedia.org/wiki/Petyr_Baelish	Petyr Baelish, nicknamed Littlefinger, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin and one of three main antagonists of its television adaptation, Game of Thrones, alongside Tywin Lannister and Cersei Lannister.
Ramsay_Bolton	Ramsay Bolton	Q19796006	https://en.wikipedia.org/wiki/Ramsay_Bolton	Ramsay Bolton, previously known as Ramsay Snow, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin and one of two secondary antagonists of its television adaptation, Game of Thrones, alongside Joffrey Baratheon.
Renly_Baratheon	Renly Baratheon	Q18920105	https://en.wikipedia.org/wiki/Renly_Baratheon	Renly Baratheon is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin and its television adaptation, Game of Thrones.
Rhaenyra_Targaryen	Rhaenyra Targaryen	Q55452801	https://en.wikipedia.org/wiki/Rhaenyra_Targaryen	Rhaenyra Targaryen is a fictional character in the A Song of Ice and Fire series of epic fantasy by American author George R. R. Martin, appearing in the 2013 novella The Princess and the Queen and the 2014 novella The Rogue Prince.
Rickon_Stark	Rickon Stark	Q12815803	https://en.wikipedia.org/wiki/Rickon_Stark	Rickon Stark is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin and its television adaptation, Game of Thrones, in which he is portrayed by Irish actor Art Parkinson.
Robb_Stark	Robb Stark	Q13634884	https://en.wikipedia.org/wiki/Robb_Stark	Robb Stark, also known by his epithet, The Young Wolf, is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin and its HBO television adaptation Game of Thrones, in which he is portrayed by Richard Madden.
Robert_Baratheon	Robert Baratheon	Q13634885	https://en.wikipedia.org/wiki/Robert_Baratheon	Robert Baratheon is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin and its television adaptation, Game of Thrones, in which he is portrayed by English actor Mark Addy.
Roose_Bolton	Roose Bolton	Q19799430	https://en.wikipedia.org/wiki/Roose_Bolton	Roose Bolton is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its HBO television adaptation Game of Thrones, where he is depicted by actor Michael McElhatton.
Samwell_Tarly	Samwell Tarly	Q11703515	https://en.wikipedia.org/wiki/Samwell_Tarly	Samwell Tarly, or simply Sam, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones, where the character is portrayed by English actor John Bradley.
Sandor_Clegane	Sandor Clegane	Q3948140	https://en.wikipedia.org/wiki/Sandor_Clegane	Sandor Clegane, nicknamed the Hound, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones.
Sansa_Stark	Sansa Stark	Q3472490	https://en.wikipedia.org/wiki/Sansa_Stark	Sansa Stark, later Alayne Stone, is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin.
Stannis_Baratheon	Stannis Baratheon	Q12056060	https://en.wikipedia.org/wiki/Stannis_Baratheon	Stannis Baratheon is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones.
Theon_Greyjoy	Theon Greyjoy	Q1120793	https://en.wikipedia.org/wiki/Theon_Greyjoy	Theon Greyjoy is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones.
Tommen_Baratheon	Tommen Baratheon	Q19792294	https://en.wikipedia.org/wiki/Tommen_Baratheon	Tommen Baratheon  is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones.
Tormund_Giantsbane	Tormund Giantsbane	Q24944284	https://en.wikipedia.org/wiki/Tormund_Giantsbane	Tormund Giantsbane is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones.
Tyrion_Lannister	Tyrion Lannister	Q2076759	https://en.wikipedia.org/wiki/Tyrion_Lannister	Tyrion Lannister is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin and its television adaptation, Game of Thrones, in which he is portrayed by American actor Peter Dinklage.
Tywin_Lannister	Tywin Lannister	Q12902445	https://en.wikipedia.org/wiki/Tywin_Lannister	Tywin Lannister ( TY-win) is a fictional character in the fantasy series A Song of Ice and Fire by American novelist George R. R. Martin and one of three main antagonists of its television adaptation, Game of Thrones, alongside Cersei Lannister and Petyr Baelish.
Varys	Varys	Q4008842	https://en.wikipedia.org/wiki/Varys	Lord Varys is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones.
Viserys_I_Targaryen_(House_of_the_Dragon)	Viserys I Targaryen (House of the Dragon)	Q141351913	https://en.wikipedia.org/wiki/Viserys_I_Targaryen_(House_of_the_Dragon)	Viserys I Targaryen is a fictional character in American author George R. R. Martin's the A Song of Ice and Fire series of epic fantasy novels, appearing in the 2013 novella The Princess and the Queen, the 2014 novella The Rogue Prince and the 2018 novel Fire & Blood.
White_Walker	White Walker	Q23807848	https://en.wikipedia.org/wiki/White_Walker	White Walkers are humanoid creatures from the HBO television series Game of Thrones, and the George R. R. Martin novel series A Song of Ice and Fire on which it is based.
